stop_id,stop_name,stop_lat,stop_lon,day_type,hour_bucket,score_1_to_5,pct_on_time,avg_delay_minutes,delay_stddev_minutes,sample_size,last_updated
8220DB001941,James's Street,53.343345,-6.289181,weekday,evening,4.5,91.7,0.83,3.3,120,2026-07-03 02:53:36.731074
8220DB001496,Marino Green,53.367148,-6.233814,weekday,pm_peak,,100.0,-1.33,,1,2026-07-03 02:53:36.731074
8220DB001515,Marino Park,53.3661143161413,-6.23319541821689,weekday,pm_peak,,100.0,-1.77,0.0,2,2026-07-03 02:53:36.731074
8220DB001502,Tara Street,53.347421,-6.254096,weekday,evening,,100.0,-3.52,0.16,2,2026-07-03 02:53:36.731074
8220DB001492,Marino Church,53.370257,-6.232558,weekday,pm_peak,,100.0,0.18,0.0,2,2026-07-03 02:53:36.731074
8440B353291,Ol Kilmeaden Rd,52.253377,-7.152771,weekday,evening,,90.0,2.03,2.02,10,2026-07-03 02:53:36.731074
8440B3525901,Waterford Bus Stn,52.263113,-7.11621,weekday,evening,2.5,67.6,1.96,3.13,37,2026-07-03 02:53:36.731074
8440B3526801,Mount Suir,52.261798,-7.143967,weekday,pm_peak,,100.0,-10.4,11.94,22,2026-07-03 02:53:36.731074
8440B352551,The Mall,52.259724,-7.10658,weekday,pm_peak,1.0,57.0,8.2,7.56,79,2026-07-03 02:53:36.731074
8440B352551,The Mall,52.259724,-7.10658,weekday,evening,3.5,86.8,4.02,4.72,38,2026-07-03 02:53:36.731074
8440B352761,Farran Park,52.242272,-7.093107,weekday,evening,,100.0,0.6,0.0,5,2026-07-03 02:53:36.731074
8440B353011,St Otteran's Hospl,52.248164,-7.102975,weekday,pm_peak,,0.0,7.8,1.58,23,2026-07-03 02:53:36.731074
8440B352101,Claremont,52.245048,-7.134756,weekday,pm_peak,,100.0,1.32,0.94,18,2026-07-03 02:53:36.731074
8440B352501,SETU Cork Road,52.245078,-7.137685,weekday,pm_peak,,100.0,3.58,0.0,12,2026-07-03 02:53:36.731074
8230GD10385,Rathcoole,53.28417,-6.46342,weekday,pm_peak,,47.8,6.66,3.68,23,2026-07-03 02:53:36.731074
8220DB004406,Concorde B Park,53.328089,-6.338511,weekday,pm_peak,,100.0,-1.36,1.43,23,2026-07-03 02:53:36.731074
8260B1042901,Castlewarden,53.2558469800427,-6.55398959540972,weekday,pm_peak,,0.0,9.07,0.0,11,2026-07-03 02:53:36.731074
8260B1056501,Brownstown,53.1390898973703,-6.83942035971295,weekday,evening,,100.0,1.97,0.0,2,2026-07-03 02:53:36.731074
